Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
PhD,25-34 years old,Junior Developer,1-9 employees,No,GBP,34,39,34,Remote,SQLite;PostgreSQL;Oracle,Ruby,Online Courses or Certification;Colleague,119200.79
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,USD,44,48,44,Hybrid,SQLite;Oracle,JavaScript;Java;Go,Other online resources,161453.85
PhD,35-44 years old,Senior Developer,"5,000 to 9,999 employees",Yes,INR,1,3,0,Hybrid,Oracle;MySQL,Java,Books / Physical media,50129.75
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,EUR,22,22,21,Hybrid,PostgreSQL;MongoDB,JavaScript;Python,Colleague,97079.64
Master's,25-34 years old,Junior Developer,"10,000+ employees",No,INR,12,16,7,In-person,MongoDB,JavaScript;C++,Books / Physical media;Other online resources;Colleague,66397.33
Bachelor's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,46,46,44,Remote,Oracle;MongoDB,Go;Java,Books / Physical media,166443.39
High School,18-24 years old,Junior Developer,"5,000 to 9,999 employees",Yes,EUR,40,43,38,Hybrid,MongoDB;SQLite;MySQL,Kotlin;JavaScript;Go,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,135759.39
PhD,55+ years old,Junior Developer,"5,000 to 9,999 employees",Yes,EUR,11,14,9,In-person,MongoDB;SQLite,Ruby,Books / Physical media,74506.3
Bachelor's,35-44 years old,Tech Lead,500-999 employees,No,GBP,11,14,8,Remote,PostgreSQL;Oracle,Java,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,68168.75
Bachelor's,35-44 years old,Senior Developer,500-999 employees,Yes,INR,15,15,13,In-person,SQLite;MongoDB,Swift,Online Courses or Certification;Colleague;Books / Physical media,64784.59
Bachelor's,35-44 years old,Student,500-999 employees,No,GBP,15,16,13,In-person,Oracle,Java;Kotlin,Colleague;Other online resources,60897.89
Master's,18-24 years old,Student,"1,000 to 4,999 employees",Yes,EUR,12,17,11,Remote,MySQL,Kotlin;C#;Python;JavaScript,Books / Physical media;Colleague,61923.81
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,INR,13,16,9,Remote,MySQL;MongoDB;Oracle,Python;C++;JavaScript;C#,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,78222.62
Bachelor's,25-34 years old,Junior Developer,"10,000+ employees",No,EUR,43,48,43,Hybrid,MySQL;SQLite;Oracle,Java;Swift,Other online resources;Books / Physical media;Colleague,135518.07
High School,18-24 years old,Junior Developer,"10,000+ employees",No,GBP,40,40,35,In-person,MySQL;PostgreSQL;SQLite,Java;Go;Swift;Kotlin,Colleague,131042.71
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,INR,33,34,31,In-person,MySQL;PostgreSQL;Oracle,Go;JavaScript,Colleague;Books / Physical media;Online Courses or Certification,141196.08
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,USD,15,16,12,Remote,Oracle,Python,Colleague;Other online resources;Books / Physical media,105303.44
Bachelor's,35-44 years old,Senior Developer,"10,000+ employees",No,USD,12,12,9,Hybrid,Oracle;SQLite,Python;Swift;Kotlin,Books / Physical media;Colleague;Other online resources,56622.8
PhD,45-54 years old,Mid-level Developer,"10,000+ employees",Yes,INR,12,17,10,Remote,PostgreSQL;SQLite;MySQL,C#;Swift;JavaScript,Online Courses or Certification;Books / Physical media;Colleague;Other online resources,84215.69
PhD,18-24 years old,Mid-level Developer,100-499 employees,Yes,EUR,41,42,40,Remote,PostgreSQL,C++;C#;Go;Java,Other online resources,140000.72
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,39,42,34,Remote,MySQL;PostgreSQL;SQLite,Ruby,Other online resources,153075.54
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,INR,49,50,45,In-person,Oracle;MongoDB,Ruby;C++,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,188119.03
High School,55+ years old,Junior Developer,"1,000 to 4,999 employees",No,GBP,4,7,3,In-person,MongoDB;MySQL,Swift,Books / Physical media;Online Courses or Certification;Other online resources,26300.32
High School,45-54 years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,40,43,38,Hybrid,MongoDB;PostgreSQL,Swift;Java;JavaScript,Books / Physical media;Online Courses or Certification;Other online resources,131607.0
Master's,45-54 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,GBP,8,12,3,In-person,SQLite;MySQL,C#;Python;Ruby,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,63155.81
PhD,45-54 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,21,24,17,Hybrid,Oracle;SQLite;PostgreSQL,Kotlin;C#;C++;JavaScript,Books / Physical media;Colleague,120482.37
High School,25-34 years old,Junior Developer,100-499 employees,Yes,INR,12,15,8,Hybrid,MongoDB;SQLite,Java,Online Courses or Certification,53284.0
PhD,55+ years old,Junior Developer,"5,000 to 9,999 employees",Yes,EUR,37,40,36,In-person,MongoDB,C#;JavaScript;C++,Other online resources;Online Courses or Certification,143476.84
PhD,55+ years old,Junior Developer,100-499 employees,Yes,USD,39,44,34,In-person,SQLite,Ruby,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,132588.09
PhD,18-24 years old,Student,500-999 employees,No,GBP,47,50,46,Hybrid,MongoDB;Oracle,Go;Ruby;Java,Other online resources;Books / Physical media;Online Courses or Certification;Colleague,156374.75
High School,35-44 years old,Tech Lead,10-99 employees,Yes,EUR,41,43,36,In-person,MongoDB;MySQL,Kotlin;JavaScript;Swift,Other online resources;Books / Physical media,148172.01
PhD,45-54 years old,Tech Lead,"10,000+ employees",No,INR,29,31,27,In-person,MySQL,Swift;Kotlin;C#;Python,Other online resources;Books / Physical media;Colleague,136038.9
PhD,35-44 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,6,11,5,In-person,PostgreSQL;SQLite,C#;Swift,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,61835.88
Bachelor's,45-54 years old,Student,"5,000 to 9,999 employees",No,USD,20,22,18,Hybrid,MongoDB;MySQL,Swift;JavaScript;Kotlin,Books / Physical media,81067.19
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,USD,18,20,13,Remote,SQLite;MongoDB,Kotlin;Ruby;Go;JavaScript,Online Courses or Certification;Books / Physical media,88951.07
PhD,45-54 years old,Senior Developer,"10,000+ employees",No,USD,11,16,8,In-person,PostgreSQL;MongoDB,C#,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,67653.05
Bachelor's,18-24 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,9,14,8,Remote,MongoDB,Swift;C#;Kotlin,Online Courses or Certification;Books / Physical media,44991.43
PhD,18-24 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,32,34,30,Hybrid,MySQL,Python;Kotlin;C#;Swift,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,113598.07
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,INR,24,26,24,In-person,MySQL,Ruby;Kotlin;Java;C++,Other online resources,122639.68
High School,18-24 years old,Tech Lead,"1,000 to 4,999 employees",Yes,USD,45,49,40,Remote,Oracle,Ruby;Go;C++;JavaScript,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,155848.33
PhD,25-34 years old,Tech Lead,"10,000+ employees",No,USD,45,48,40,In-person,MongoDB;MySQL;SQLite,Swift;Kotlin;Go;Ruby,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,181195.75
PhD,18-24 years old,Tech Lead,"5,000 to 9,999 employees",No,EUR,37,40,33,Remote,SQLite;MySQL,Python;Go;Kotlin,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,153636.05
High School,45-54 years old,Junior Developer,500-999 employees,Yes,USD,18,19,16,Hybrid,MySQL;PostgreSQL;SQLite,Ruby;Go;Python,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,68901.87
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,GBP,49,50,45,Remote,MongoDB,C#;Go;JavaScript,Online Courses or Certification;Other online resources,157777.86
Bachelor's,35-44 years old,Student,"5,000 to 9,999 employees",Yes,USD,40,44,36,Hybrid,MongoDB;PostgreSQL,Ruby;Python;C#,Other online resources;Online Courses or Certification,138044.72
Master's,35-44 years old,Mid-level Developer,"10,000+ employees",No,USD,24,24,21,Hybrid,SQLite;PostgreSQL,JavaScript;C#;Ruby,Other online resources;Books / Physical media,98197.63
Master's,55+ years old,Mid-level Developer,10-99 employees,Yes,INR,49,50,47,Remote,SQLite;Oracle,C++;C#;JavaScript,Online Courses or Certification;Other online resources;Colleague,162190.18
Bachelor's,18-24 years old,Mid-level Developer,10-99 employees,No,EUR,35,35,30,Remote,PostgreSQL,Go;C++;Swift,Books / Physical media;Other online resources;Colleague,109230.16
Master's,45-54 years old,Junior Developer,10-99 employees,Yes,USD,45,49,42,Remote,SQLite;Oracle,C#;JavaScript,Online Courses or Certification,150066.68
Bachelor's,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,EUR,42,45,42,Remote,MySQL;MongoDB,Python;C++;Ruby;Swift,Colleague,139722.72
High School,55+ years old,Mid-level Developer,1-9 employees,No,INR,21,25,19,Remote,Oracle;SQLite,C#;Python;Kotlin;Swift,Colleague,71595.68
Master's,18-24 years old,Tech Lead,10-99 employees,Yes,EUR,3,3,0,Remote,MongoDB;SQLite,Java;Swift;JavaScript;C#,Books / Physical media;Other online resources,58825.55
High School,18-24 years old,Tech Lead,10-99 employees,No,EUR,36,41,33,In-person,SQLite;MongoDB,Swift;C#;Kotlin;C++,Other online resources,132498.14
Master's,45-54 years old,Student,"10,000+ employees",No,GBP,14,18,9,Remote,MongoDB;Oracle,Java;C#;Go;Ruby,Colleague;Books / Physical media;Online Courses or Certification,79100.76
Bachelor's,18-24 years old,Senior Developer,1-9 employees,No,INR,21,26,16,In-person,PostgreSQL,C#;Go;JavaScript,Colleague;Online Courses or Certification;Books / Physical media,69455.42
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,16,16,15,Remote,SQLite;Oracle,Go;Kotlin;JavaScript,Books / Physical media;Online Courses or Certification;Colleague,99569.04
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,EUR,35,39,30,Hybrid,MongoDB;MySQL;SQLite,JavaScript;Swift;Go,Colleague;Books / Physical media;Other online resources,138359.59
Master's,55+ years old,Tech Lead,10-99 employees,Yes,INR,41,45,38,Hybrid,PostgreSQL;SQLite;MongoDB,JavaScript;Swift;Python;Kotlin,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,157441.13
PhD,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,GBP,40,42,35,In-person,Oracle,Swift,Books / Physical media,131108.05
Bachelor's,45-54 years old,Senior Developer,10-99 employees,Yes,EUR,19,20,18,Remote,MySQL;SQLite,JavaScript,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,75958.2
Bachelor's,18-24 years old,Senior Developer,"5,000 to 9,999 employees",Yes,EUR,7,10,2,In-person,SQLite;PostgreSQL,Kotlin;C#,Other online resources;Online Courses or Certification,51891.45
Master's,35-44 years old,Junior Developer,500-999 employees,Yes,USD,49,50,48,Hybrid,MySQL;Oracle,C++;Java;Python;JavaScript,Online Courses or Certification,158892.0
Bachelor's,25-34 years old,Junior Developer,100-499 employees,No,EUR,45,48,45,Remote,Oracle,Python,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,132335.28
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,GBP,39,44,36,Hybrid,PostgreSQL;MongoDB;Oracle,C++,Online Courses or Certification;Books / Physical media,141542.83
PhD,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,GBP,33,34,33,Hybrid,SQLite;MySQL,Python;Swift;Java,Books / Physical media,122169.22
Bachelor's,55+ years old,Tech Lead,"10,000+ employees",Yes,EUR,23,25,21,Remote,MySQL,JavaScript,Online Courses or Certification;Books / Physical media,111527.5
PhD,45-54 years old,Senior Developer,10-99 employees,No,GBP,14,16,9,Hybrid,SQLite;PostgreSQL;MongoDB,C++;Kotlin,Other online resources;Online Courses or Certification;Colleague,65837.63
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,GBP,10,15,5,In-person,PostgreSQL;Oracle;MongoDB,JavaScript;Python;Java,Other online resources;Books / Physical media,68036.02
PhD,18-24 years old,Senior Developer,10-99 employees,Yes,INR,7,9,7,Remote,MongoDB;PostgreSQL,Ruby,Books / Physical media;Other online resources,55196.9
Master's,55+ years old,Mid-level Developer,1-9 employees,Yes,INR,28,33,25,Hybrid,SQLite;PostgreSQL,Go;Python;JavaScript,Books / Physical media,108127.11
Bachelor's,35-44 years old,Student,"5,000 to 9,999 employees",No,INR,14,19,13,Remote,PostgreSQL,Java;JavaScript;Python;Kotlin,Online Courses or Certification;Colleague,62918.15
Master's,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",No,GBP,24,29,21,Hybrid,Oracle;MongoDB;PostgreSQL,JavaScript;Python,Books / Physical media;Colleague,98051.25
PhD,25-34 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,26,30,26,Remote,MySQL,Ruby,Books / Physical media;Colleague,105805.84
PhD,35-44 years old,Senior Developer,100-499 employees,No,INR,6,7,1,In-person,SQLite,Python;C++;Ruby,Books / Physical media;Other online resources;Online Courses or Certification,50540.58
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,USD,30,33,27,Remote,SQLite;Oracle,Kotlin;Go,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,93600.31
Master's,55+ years old,Mid-level Developer,100-499 employees,Yes,INR,50,50,46,In-person,Oracle;SQLite,Kotlin,Other online resources;Colleague;Books / Physical media,161986.75
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,22,25,22,In-person,SQLite;MySQL;Oracle,Swift,Other online resources;Online Courses or Certification,93011.92
Master's,25-34 years old,Student,"1,000 to 4,999 employees",No,INR,2,6,0,Remote,Oracle,Ruby,Other online resources;Online Courses or Certification,39034.43
PhD,35-44 years old,Mid-level Developer,"10,000+ employees",No,USD,30,31,27,In-person,Oracle;MySQL,Ruby;Swift;Java;JavaScript,Other online resources,116395.95
High School,25-34 years old,Tech Lead,100-499 employees,Yes,EUR,38,38,38,In-person,MySQL,C++;Java;C#,Online Courses or Certification,137012.67
Bachelor's,25-34 years old,Student,500-999 employees,Yes,EUR,46,49,46,Hybrid,SQLite,Go;JavaScript,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,144472.1
Bachelor's,25-34 years old,Tech Lead,100-499 employees,No,EUR,38,38,38,Remote,PostgreSQL;SQLite,Python;Kotlin;C++,Colleague,137667.92
PhD,45-54 years old,Junior Developer,500-999 employees,Yes,INR,37,38,35,In-person,MongoDB;PostgreSQL;MySQL,Kotlin;Ruby;Java,Books / Physical media;Colleague;Other online resources,128060.15
Bachelor's,55+ years old,Student,"1,000 to 4,999 employees",No,GBP,35,39,31,Hybrid,PostgreSQL,C#;Ruby;Java,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,104282.6
High School,25-34 years old,Mid-level Developer,"10,000+ employees",No,USD,15,16,10,Hybrid,SQLite;Oracle,Python,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,67306.24
High School,25-34 years old,Mid-level Developer,500-999 employees,No,USD,0,3,0,In-person,MySQL;MongoDB;PostgreSQL,JavaScript;Python;Java,Books / Physical media;Colleague;Online Courses or Certification,17183.31
Master's,25-34 years old,Tech Lead,100-499 employees,Yes,USD,20,21,18,Hybrid,Oracle,Ruby;Python,Other online resources;Books / Physical media,107180.58
High School,45-54 years old,Tech Lead,100-499 employees,No,INR,23,28,21,Remote,SQLite;PostgreSQL,JavaScript;C#,Colleague,98237.24
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,INR,19,19,18,Remote,MySQL;SQLite,C++;Python;Java,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,116945.36
PhD,45-54 years old,Tech Lead,100-499 employees,No,INR,39,43,38,Remote,SQLite;MySQL;MongoDB,Java,Books / Physical media;Other online resources;Colleague,156342.87
PhD,55+ years old,Student,"10,000+ employees",No,USD,45,46,43,Remote,MySQL;PostgreSQL;SQLite,Java;Go,Online Courses or Certification;Colleague,155320.6
High School,35-44 years old,Mid-level Developer,500-999 employees,No,GBP,2,4,0,Hybrid,Oracle,C++;Go,Books / Physical media;Colleague;Other online resources,26136.14
PhD,18-24 years old,Student,"1,000 to 4,999 employees",No,INR,25,30,20,Hybrid,PostgreSQL;Oracle,Java;Ruby;C#;Go,Online Courses or Certification,93931.21
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,USD,10,10,8,Remote,PostgreSQL,Java,Colleague,74365.31
High School,18-24 years old,Tech Lead,"10,000+ employees",Yes,USD,40,41,40,In-person,MongoDB;Oracle,Go;Ruby;C#;Swift,Colleague,157796.15
Master's,25-34 years old,Senior Developer,1-9 employees,Yes,EUR,26,30,22,In-person,Oracle;MySQL,Swift,Online Courses or Certification;Colleague;Books / Physical media,95836.52
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,15,17,14,In-person,MySQL,Ruby;C++;Python;C#,Online Courses or Certification;Colleague,90262.25
Master's,45-54 years old,Senior Developer,"10,000+ employees",Yes,GBP,15,17,10,Remote,MySQL,Swift;C#;Kotlin;C++,Colleague;Online Courses or Certification,83432.16
PhD,45-54 years old,Mid-level Developer,"10,000+ employees",Yes,EUR,21,22,17,In-person,MongoDB,Python;Go,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,100636.59
Bachelor's,45-54 years old,Student,"5,000 to 9,999 employees",No,INR,40,43,36,In-person,PostgreSQL,JavaScript;Python;Ruby;C#,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,126032.46
High School,45-54 years old,Senior Developer,10-99 employees,Yes,EUR,25,28,24,In-person,PostgreSQL,Kotlin;Java,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,87288.54
Bachelor's,45-54 years old,Tech Lead,10-99 employees,No,INR,9,11,8,Remote,MySQL;PostgreSQL,Python;Go;Kotlin;C#,Other online resources,61464.51
Master's,55+ years old,Senior Developer,100-499 employees,No,INR,12,15,11,Hybrid,MongoDB;Oracle;PostgreSQL,Java;Kotlin;Swift,Books / Physical media;Colleague;Other online resources,59820.45
Master's,45-54 years old,Student,1-9 employees,Yes,GBP,39,39,34,Remote,PostgreSQL;MySQL,JavaScript;Ruby,Online Courses or Certification;Books / Physical media;Colleague,128363.96
Bachelor's,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,GBP,26,31,24,In-person,MySQL;MongoDB,Ruby;C#;JavaScript,Online Courses or Certification;Books / Physical media;Other online resources,120102.39
Bachelor's,45-54 years old,Mid-level Developer,"10,000+ employees",Yes,GBP,12,16,9,Remote,SQLite;MongoDB,Swift;Python;Ruby;Kotlin,Books / Physical media;Online Courses or Certification,60628.06
PhD,45-54 years old,Senior Developer,100-499 employees,No,USD,6,10,1,Remote,MySQL,Kotlin;Go;Python;Ruby,Other online resources;Colleague;Online Courses or Certification,49314.51
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,EUR,10,11,9,In-person,MongoDB;Oracle;SQLite,C#;JavaScript;Swift,Online Courses or Certification,85654.58
PhD,55+ years old,Student,"10,000+ employees",Yes,USD,19,22,19,Hybrid,SQLite,C++;Python;Ruby;C#,Books / Physical media;Colleague,93779.76
High School,25-34 years old,Junior Developer,500-999 employees,Yes,GBP,17,21,14,In-person,MongoDB;Oracle,C++,Books / Physical media;Other online resources;Colleague,64746.82
High School,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,GBP,5,5,5,In-person,MongoDB;PostgreSQL;MySQL,C#;Ruby,Colleague,48377.93
Master's,25-34 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,24,24,24,Hybrid,PostgreSQL;MySQL,Python;Ruby;C#;Kotlin,Other online resources,108717.86
Master's,35-44 years old,Tech Lead,100-499 employees,Yes,EUR,47,50,43,Remote,PostgreSQL,Go;Swift;Python,Books / Physical media,167555.46
Bachelor's,45-54 years old,Student,"1,000 to 4,999 employees",Yes,EUR,15,18,11,Remote,Oracle;SQLite,C#;Swift,Other online resources;Colleague,63673.99
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,INR,15,18,15,Hybrid,SQLite;PostgreSQL,Python,Other online resources,101546.24
Bachelor's,45-54 years old,Tech Lead,100-499 employees,Yes,EUR,24,25,23,Hybrid,MySQL;MongoDB,Go,Online Courses or Certification;Books / Physical media,102086.49
PhD,18-24 years old,Tech Lead,500-999 employees,No,USD,18,21,18,Hybrid,PostgreSQL,Swift;Java,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,100879.78
Bachelor's,25-34 years old,Mid-level Developer,10-99 employees,No,EUR,7,11,3,Remote,MongoDB,C++,Colleague,35766.87
High School,25-34 years old,Junior Developer,"5,000 to 9,999 employees",No,EUR,10,14,7,Hybrid,MySQL;MongoDB,JavaScript;Java;Swift,Online Courses or Certification;Colleague,53969.96
PhD,35-44 years old,Mid-level Developer,1-9 employees,Yes,EUR,15,16,12,Remote,MongoDB;Oracle;MySQL,Kotlin;Go;C++;JavaScript,Colleague;Other online resources;Online Courses or Certification,75913.67
Bachelor's,45-54 years old,Student,10-99 employees,Yes,USD,34,37,29,In-person,SQLite,JavaScript;C#,Books / Physical media;Colleague,107175.82
Bachelor's,25-34 years old,Junior Developer,"1,000 to 4,999 employees",Yes,EUR,43,46,42,Remote,MySQL;MongoDB,C#,Colleague;Books / Physical media,130470.41
Bachelor's,45-54 years old,Junior Developer,1-9 employees,No,GBP,7,9,3,Hybrid,MongoDB;SQLite,C#;Kotlin;Python,Colleague,40119.47
Master's,35-44 years old,Student,"10,000+ employees",No,USD,8,10,7,Remote,SQLite;PostgreSQL,Python,Other online resources;Colleague,64254.71
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,EUR,39,39,38,Hybrid,SQLite,Go;JavaScript;C++;Swift,Online Courses or Certification;Books / Physical media;Colleague,162896.28
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,INR,20,25,16,Remote,Oracle;MongoDB,Swift;C++;Go;Python,Online Courses or Certification,93724.96
Bachelor's,35-44 years old,Junior Developer,500-999 employees,No,GBP,28,33,24,In-person,MongoDB;SQLite;PostgreSQL,Kotlin;Python,Online Courses or Certification,87732.48
Bachelor's,25-34 years old,Junior Developer,1-9 employees,Yes,GBP,20,24,19,Remote,MySQL;PostgreSQL,Java;Go;Ruby,Other online resources;Online Courses or Certification;Colleague,71391.28
Master's,55+ years old,Tech Lead,100-499 employees,Yes,INR,50,50,48,In-person,SQLite;MongoDB;MySQL,C#;Java;Swift;Python,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,178722.31
Bachelor's,18-24 years old,Senior Developer,500-999 employees,Yes,INR,19,21,14,In-person,MySQL,Java;Kotlin;C#;Ruby,Books / Physical media;Colleague,76204.33
